,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
10394,2020.02.11,12:00:00,0.89125,0.89449,0.89116,0.89312,6913,0,15
10395,2020.02.11,16:00:00,0.89312,0.89318,0.89146,0.89229,4373,0,16
10396,2020.02.11,20:00:00,0.89229,0.89301,0.89156,0.89288,2798,0,15
10397,2020.02.12,00:00:00,0.89288,0.89476,0.89223,0.89365,5866,0,16
10398,2020.02.12,04:00:00,0.89365,0.89423,0.89291,0.89325,3982,0,17
10399,2020.02.12,08:00:00,0.89325,0.89524,0.89318,0.89507,5324,0,15
10400,2020.02.12,12:00:00,0.89507,0.89533,0.89279,0.89426,5532,0,16
10401,2020.02.12,16:00:00,0.89424,0.89459,0.89215,0.89302,4267,0,15
10402,2020.02.12,20:00:00,0.89302,0.89331,0.88927,0.88986,4038,0,14
10403,2020.02.13,00:00:00,0.88986,0.89151,0.889,0.8903,6068,0,15
10404,2020.02.13,04:00:00,0.8903,0.89158,0.88965,0.89136,3693,0,16
10405,2020.02.13,08:00:00,0.89131,0.89279,0.89119,0.89246,5754,0,16
10406,2020.02.13,12:00:00,0.89246,0.89303,0.89178,0.8923,7707,0,15
10407,2020.02.13,16:00:00,0.89233,0.89286,0.89105,0.89154,3476,0,16
10408,2020.02.13,20:00:00,0.89154,0.89162,0.88956,0.89123,2413,0,15
10409,2020.02.14,00:00:00,0.89129,0.89221,0.89066,0.89125,3901,0,15
10410,2020.02.14,04:00:00,0.89125,0.89146,0.89031,0.89141,3169,0,16
10411,2020.02.14,08:00:00,0.89141,0.89158,0.88866,0.88897,4051,0,16
10412,2020.02.14,12:00:00,0.88897,0.89066,0.88891,0.89039,5745,0,14
10413,2020.02.14,16:00:00,0.89039,0.8905,0.8885,0.8892,3237,0,16
10414,2020.02.14,20:00:00,0.8892,0.88991,0.88906,0.88947,1247,0,16
10415,2020.02.17,00:00:00,0.89066,0.89087,0.88955,0.88988,3542,0,19
10416,2020.02.17,04:00:00,0.88988,0.89105,0.88976,0.89097,2567,0,18
10417,2020.02.17,08:00:00,0.89097,0.89103,0.88856,0.88882,3419,0,16
10418,2020.02.17,12:00:00,0.88882,0.88957,0.88832,0.88884,3014,0,17
10419,2020.02.17,16:00:00,0.88884,0.88911,0.88821,0.88884,2119,0,15
10420,2020.02.17,20:00:00,0.88884,0.88899,0.88755,0.88809,2275,0,16
10421,2020.02.18,00:00:00,0.88809,0.88809,0.88575,0.88636,4468,0,16
10422,2020.02.18,04:00:00,0.88636,0.88664,0.88549,0.8858,2896,0,17
10423,2020.02.18,08:00:00,0.8858,0.88648,0.8852,0.88621,5347,0,15
10424,2020.02.18,12:00:00,0.88622,0.88784,0.88546,0.88761,5745,0,14
10425,2020.02.18,16:00:00,0.88758,0.88768,0.88581,0.886,3595,0,17
10426,2020.02.18,20:00:00,0.886,0.88716,0.88595,0.88715,3125,0,20
10427,2020.02.19,00:00:00,0.88715,0.88774,0.8858,0.88686,3494,0,19
10428,2020.02.19,04:00:00,0.88686,0.88732,0.88624,0.8867,2923,0,16
10429,2020.02.19,08:00:00,0.88666,0.88724,0.88498,0.88521,4207,0,14
10430,2020.02.19,12:00:00,0.88522,0.88558,0.88289,0.88323,6189,0,15
10431,2020.02.19,16:00:00,0.88326,0.88341,0.88233,0.88243,4191,0,16
10432,2020.02.19,20:00:00,0.88243,0.88357,0.88175,0.88327,3218,0,16
10433,2020.02.20,00:00:00,0.88319,0.88433,0.87752,0.8781,7079,0,15
10434,2020.02.20,04:00:00,0.87809,0.88022,0.87797,0.87929,4374,0,16
10435,2020.02.20,08:00:00,0.87929,0.8795,0.87761,0.87927,5376,0,15
