,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
96,2013.10.15,1.59709,1.60086,1.59149,1.59826,35596,0,1
97,2013.10.16,1.59831,1.60578,1.58938,1.59454,38231,0,1
98,2013.10.17,1.59454,1.61718,1.59398,1.61486,42317,0,1
99,2013.10.18,1.61484,1.62247,1.61416,1.61638,29114,0,1
100,2013.10.21,1.61699,1.61806,1.61228,1.61312,26008,0,1
101,2013.10.22,1.61312,1.62476,1.61154,1.62306,30564,0,1
102,2013.10.23,1.62304,1.62562,1.61196,1.61631,36271,0,1
103,2013.10.24,1.61629,1.62226,1.61374,1.61974,39421,0,1
104,2013.10.25,1.61978,1.62467,1.61502,1.61619,36013,0,1
105,2013.10.28,1.61803,1.62079,1.60643,1.60952,33156,0,1
106,2013.10.29,1.60951,1.61184,1.60234,1.60427,39100,0,1
107,2013.10.30,1.60428,1.60779,1.59984,1.60355,38554,0,1
108,2013.10.31,1.60355,1.60683,1.60056,1.60283,44032,0,1
109,2013.11.01,1.60284,1.60393,1.59086,1.59214,36962,0,1
110,2013.11.04,1.59344,1.59817,1.59032,1.5977,26232,0,1
111,2013.11.05,1.59779,1.60624,1.59482,1.60468,37437,0,1
112,2013.11.06,1.60468,1.61175,1.60455,1.60703,33532,0,1
113,2013.11.07,1.60703,1.61136,1.60096,1.6087,44848,0,1
114,2013.11.08,1.60867,1.61047,1.59569,1.60126,38710,0,1
115,2013.11.11,1.60123,1.60215,1.59653,1.59862,31069,0,1
116,2013.11.12,1.59859,1.59914,1.58539,1.58893,40122,0,1
117,2013.11.13,1.58893,1.60673,1.58779,1.6044,43729,0,1
118,2013.11.14,1.60442,1.6101,1.59885,1.606,43435,0,1
119,2013.11.15,1.606,1.6134,1.60481,1.61142,31086,0,1
120,2013.11.18,1.61093,1.61484,1.60814,1.61152,34291,0,1
121,2013.11.19,1.6115,1.61432,1.60593,1.61213,40193,0,1
122,2013.11.20,1.61211,1.61778,1.60859,1.60903,46051,0,1
123,2013.11.21,1.60904,1.6202,1.60721,1.6192,45880,0,1
124,2013.11.22,1.61923,1.62252,1.61812,1.62212,34836,0,1
125,2013.11.25,1.62309,1.62335,1.61333,1.61662,31074,0,1
126,2013.11.26,1.6166,1.62189,1.61388,1.6201,29881,0,1
127,2013.11.27,1.62009,1.63302,1.61973,1.62793,38325,0,1
128,2013.11.28,1.62794,1.63573,1.62766,1.63495,34180,0,1
129,2013.11.29,1.63493,1.63841,1.63142,1.63611,38935,0,1
130,2013.12.02,1.64093,1.64382,1.63429,1.63584,40645,0,1
131,2013.12.03,1.63583,1.64365,1.63464,1.63857,38774,0,1
132,2013.12.04,1.63859,1.64034,1.63263,1.63714,46377,0,1
133,2013.12.05,1.63716,1.64034,1.63001,1.63359,47232,0,1
134,2013.12.06,1.63357,1.63931,1.62916,1.63454,39273,0,1
135,2013.12.09,1.63308,1.64322,1.63286,1.64225,33887,0,1
136,2013.12.10,1.64226,1.64652,1.64204,1.64462,34270,0,1
137,2013.12.11,1.64458,1.64466,1.6339,1.63536,36934,0,1
138,2013.12.12,1.63537,1.64178,1.63205,1.63419,37486,0,1
139,2013.12.13,1.63419,1.63597,1.62623,1.62914,33688,0,1
140,2013.12.16,1.62964,1.63485,1.62893,1.6301,35442,0,1
141,2013.12.17,1.63014,1.63355,1.62175,1.62756,35888,0,1
142,2013.12.18,1.62755,1.64841,1.62719,1.63817,46993,0,1
143,2013.12.19,1.63817,1.63892,1.63353,1.63559,38132,0,1
144,2013.12.20,1.63557,1.63944,1.63157,1.63279,36430,0,1
145,2013.12.23,1.63512,1.63747,1.63288,1.63381,30814,0,1
146,2013.12.24,1.63376,1.63811,1.63219,1.63694,20851,0,1
147,2013.12.26,1.63793,1.64378,1.63707,1.64254,19666,0,1
148,2013.12.27,1.6425,1.65775,1.64215,1.64787,35996,0,1
149,2013.12.30,1.64826,1.65325,1.64597,1.64959,30995,0,1
150,2013.12.31,1.64959,1.65778,1.64742,1.65649,24273,0,1
151,2014.01.01,1.65623,1.65918,1.6558,1.65778,5832,0,6
152,2014.01.02,1.65778,1.6603,1.64106,1.6451,56938,0,1
153,2014.01.03,1.64506,1.64738,1.63952,1.64151,36994,0,1
154,2014.01.06,1.64106,1.64334,1.63374,1.64084,38544,0,1
155,2014.01.07,1.64085,1.64381,1.63739,1.63821,33006,0,1
156,2014.01.08,1.63823,1.64715,1.63799,1.64491,36581,0,1
157,2014.01.09,1.64488,1.64973,1.64443,1.64736,36232,0,1
158,2014.01.10,1.64738,1.65169,1.63804,1.64784,34274,0,1
159,2014.01.13,1.64838,1.65078,1.63465,1.63926,37424,0,1
160,2014.01.14,1.63926,1.64641,1.6367,1.64321,37760,0,1
161,2014.01.15,1.64325,1.64376,1.63222,1.63565,39954,0,1
162,2014.01.16,1.63562,1.63829,1.63147,1.63476,37308,0,1
163,2014.01.17,1.63477,1.64583,1.6309,1.64226,35106,0,1
164,2014.01.20,1.63989,1.64519,1.63953,1.64196,25625,0,1
165,2014.01.21,1.64198,1.64903,1.63991,1.64849,34594,0,1
166,2014.01.22,1.64848,1.65865,1.64504,1.6562,36752,0,1
167,2014.01.23,1.6562,1.66428,1.65576,1.66241,43572,0,1
168,2014.01.24,1.66238,1.6668,1.64768,1.64768,42920,0,1
169,2014.01.27,1.64886,1.65875,1.64871,1.65713,38553,0,1
170,2014.01.28,1.65715,1.6625,1.65355,1.6572,37420,0,1
171,2014.01.29,1.65724,1.66063,1.65253,1.65584,41215,0,1
172,2014.01.30,1.65583,1.65639,1.64447,1.64879,40475,0,1
173,2014.01.31,1.64883,1.64919,1.64271,1.64343,40306,0,1
174,2014.02.03,1.64327,1.64349,1.62898,1.63129,41338,0,1
175,2014.02.04,1.63129,1.63442,1.62569,1.63308,38700,0,1
176,2014.02.05,1.63306,1.63406,1.62519,1.63176,50350,0,1
177,2014.02.06,1.63176,1.63483,1.62724,1.63182,47964,0,1
178,2014.02.07,1.63183,1.64177,1.63005,1.64101,46064,0,1
179,2014.02.10,1.6408,1.64331,1.63829,1.64243,29247,0,1
180,2014.02.11,1.64245,1.64871,1.63921,1.64436,36186,0,1
181,2014.02.12,1.64436,1.6618,1.64254,1.66099,42650,0,1
182,2014.02.13,1.66099,1.6673,1.65999,1.66512,39790,0,1
183,2014.02.14,1.66509,1.67555,1.66439,1.67466,34727,0,1
184,2014.02.17,1.67591,1.68223,1.66954,1.67171,34494,0,1
185,2014.02.18,1.67174,1.6741,1.66556,1.6682,40276,0,1
186,2014.02.19,1.6682,1.67335,1.66367,1.66804,37811,0,1
187,2014.02.20,1.66806,1.66996,1.66255,1.66581,39341,0,1
188,2014.02.21,1.66582,1.67247,1.66125,1.66145,36671,0,1
189,2014.02.24,1.66309,1.66787,1.65831,1.6646,37416,0,1
190,2014.02.25,1.66462,1.67266,1.66424,1.66759,38970,0,1
191,2014.02.26,1.66761,1.67013,1.66215,1.66667,38750,0,1
192,2014.02.27,1.66669,1.66989,1.66166,1.66861,40202,0,1
193,2014.02.28,1.66861,1.67684,1.66759,1.67398,42187,0,1
194,2014.03.03,1.67343,1.67509,1.66532,1.66607,41250,0,1
195,2014.03.04,1.66607,1.67164,1.66403,1.66628,38277,0,1
196,2014.03.05,1.66628,1.67416,1.66566,1.67158,36122,0,1
197,2014.03.06,1.67158,1.67771,1.66852,1.67327,39566,0,1
198,2014.03.07,1.67328,1.67855,1.67064,1.67114,48297,0,1
199,2014.03.10,1.67364,1.6741,1.66216,1.66389,60586,0,1
200,2014.03.11,1.66391,1.66529,1.6596,1.66152,60971,0,1
201,2014.03.12,1.66151,1.66356,1.65681,1.6608,70399,0,1
202,2014.03.13,1.66082,1.6718,1.6608,1.66197,81584,0,1
203,2014.03.14,1.66197,1.66489,1.65869,1.66464,74460,0,1
204,2014.03.17,1.66292,1.66657,1.66044,1.66354,51892,0,1
205,2014.03.18,1.66354,1.66475,1.65455,1.65958,67284,0,1
206,2014.03.19,1.65958,1.66542,1.65079,1.65388,81303,0,1
207,2014.03.20,1.65388,1.65681,1.64798,1.65093,68777,0,1
208,2014.03.21,1.65093,1.65201,1.64752,1.64852,54764,0,1
209,2014.03.24,1.64866,1.6536,1.64652,1.64966,59966,0,1
210,2014.03.25,1.64966,1.65492,1.6481,1.65353,76412,0,1
211,2014.03.26,1.65353,1.65966,1.65093,1.65761,71102,0,1
212,2014.03.27,1.65761,1.66466,1.65549,1.66171,78690,0,1
213,2014.03.28,1.66168,1.66511,1.65988,1.66378,63413,0,1
214,2014.03.31,1.66451,1.66837,1.66112,1.66641,77573,0,1
215,2014.04.01,1.66639,1.66747,1.66182,1.66294,61485,0,1
216,2014.04.02,1.66289,1.66637,1.66199,1.6626,57451,0,1
217,2014.04.03,1.6626,1.66605,1.657,1.65972,74002,0,1
218,2014.04.04,1.65971,1.66055,1.65536,1.65712,66087,0,1
219,2014.04.07,1.65787,1.66237,1.65654,1.66077,42279,0,1
220,2014.04.08,1.66078,1.67545,1.66064,1.67472,60908,0,1
221,2014.04.09,1.67472,1.68012,1.67241,1.67991,60231,0,1
222,2014.04.10,1.67989,1.68201,1.67541,1.67764,44293,0,1
223,2014.04.11,1.67765,1.67869,1.67171,1.67304,40238,0,1
224,2014.04.14,1.6729,1.67435,1.66965,1.67264,39728,0,1
225,2014.04.15,1.67259,1.67489,1.666,1.67239,44613,0,1
226,2014.04.16,1.67239,1.68177,1.67199,1.68023,44441,0,1
227,2014.04.17,1.68012,1.68417,1.67744,1.67825,40060,0,1
228,2014.04.18,1.67827,1.68013,1.67739,1.67886,16118,0,1
229,2014.04.21,1.67835,1.68184,1.67835,1.67899,17739,0,1
230,2014.04.22,1.67889,1.6839,1.67856,1.68217,35792,0,1
231,2014.04.23,1.68216,1.68357,1.67623,1.67823,42536,0,1
232,2014.04.24,1.67825,1.68115,1.6765,1.68076,40524,0,1
233,2014.04.25,1.68074,1.68295,1.67897,1.67977,31067,0,1
234,2014.04.28,1.68043,1.68574,1.67772,1.68086,42546,0,1
235,2014.04.29,1.68084,1.68467,1.67927,1.6824,41613,0,1
236,2014.04.30,1.68239,1.69006,1.68069,1.68744,46725,0,1
237,2014.05.01,1.68741,1.69195,1.68713,1.6894,31059,0,1
238,2014.05.02,1.68941,1.68949,1.68215,1.68685,42655,0,1
239,2014.05.05,1.68784,1.68823,1.68532,1.68674,26366,0,1
240,2014.05.06,1.68674,1.69961,1.68659,1.6975,46076,0,1
241,2014.05.07,1.69749,1.69859,1.6951,1.69539,56750,0,1
242,2014.05.08,1.6954,1.69752,1.69234,1.69335,62937,0,1
243,2014.05.09,1.69335,1.69379,1.68317,1.68472,41647,0,1
244,2014.05.12,1.6859,1.69029,1.68472,1.68721,37006,0,1
245,2014.05.13,1.68719,1.6883,1.68186,1.68309,50757,0,1
246,2014.05.14,1.68305,1.68744,1.67535,1.67677,47689,0,1
247,2014.05.15,1.67681,1.68059,1.67316,1.67931,42062,0,1
248,2014.05.16,1.67927,1.68386,1.67832,1.681,32174,0,1
249,2014.05.19,1.68231,1.68445,1.68049,1.68141,30220,0,1
250,2014.05.20,1.68142,1.68639,1.68019,1.68366,29559,0,2
251,2014.05.21,1.68372,1.69201,1.68318,1.68967,35824,0,1
252,2014.05.22,1.68962,1.69172,1.68514,1.68663,40381,0,1
253,2014.05.23,1.68663,1.68751,1.68125,1.683,34662,0,1
254,2014.05.26,1.68323,1.68524,1.6826,1.68432,21155,0,1
255,2014.05.27,1.6843,1.68816,1.67823,1.68096,31969,0,1
256,2014.05.28,1.68097,1.68153,1.66971,1.67127,35142,0,3
257,2014.05.29,1.67134,1.67401,1.66925,1.67222,32383,0,4
258,2014.05.30,1.67221,1.6777,1.67163,1.67505,30844,0,1
259,2014.06.02,1.67545,1.67612,1.67249,1.67425,39903,0,1
260,2014.06.03,1.67426,1.67821,1.67305,1.67395,41423,0,1
261,2014.06.04,1.67393,1.67681,1.66988,1.67383,42805,0,1
262,2014.06.05,1.67385,1.68249,1.67224,1.68069,54242,0,1
263,2014.06.06,1.68066,1.68454,1.67807,1.67997,41909,0,1
264,2014.06.09,1.68065,1.68321,1.67838,1.6802,36113,0,1
265,2014.06.10,1.68021,1.68171,1.67425,1.67473,45281,0,1
