,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2238,2022.01.17,0.68061,0.6818,0.6781,0.6795,27189,0,1
2239,2022.01.18,0.67958,0.68075,0.67523,0.67698,45669,0,1
2240,2022.01.19,0.67702,0.68112,0.67641,0.6779,41685,0,1
2241,2022.01.20,0.67791,0.68054,0.67437,0.67492,39009,0,1
2242,2022.01.21,0.67493,0.67529,0.67076,0.67117,44490,0,1
2243,2022.01.24,0.67206,0.67273,0.66601,0.67028,53296,0,1
2244,2022.01.25,0.67028,0.67104,0.66598,0.66891,52031,0,1
2245,2022.01.26,0.6689,0.67016,0.6638,0.66595,49264,0,1
2246,2022.01.27,0.66595,0.66598,0.65698,0.65828,54063,0,1
2247,2022.01.28,0.65828,0.65887,0.65292,0.65457,48376,0,1
2248,2022.01.31,0.65503,0.65967,0.65418,0.65764,44305,0,1
2249,2022.02.01,0.65764,0.66468,0.65656,0.66346,43223,0,1
2250,2022.02.02,0.66347,0.66619,0.66085,0.66103,38419,0,1
2251,2022.02.03,0.66108,0.66809,0.66108,0.66649,47710,0,1
2252,2022.02.04,0.66647,0.66829,0.65899,0.66134,47581,0,2
2253,2022.02.07,0.66183,0.66413,0.66028,0.66362,38272,0,1
2254,2022.02.08,0.66364,0.66533,0.66269,0.6648,31651,0,1
2255,2022.02.09,0.66485,0.66975,0.66407,0.66777,29410,0,1
2256,2022.02.10,0.66777,0.67321,0.66528,0.66646,49396,0,1
2257,2022.02.11,0.66646,0.66933,0.66266,0.66457,55942,0,1
2258,2022.02.14,0.6645,0.66476,0.65923,0.66165,50113,0,1
2259,2022.02.15,0.66164,0.6648,0.66019,0.66382,38433,0,1
2260,2022.02.16,0.66381,0.66911,0.66329,0.66787,37896,0,1
2261,2022.02.17,0.66787,0.67172,0.66585,0.66884,48167,0,1
2262,2022.02.18,0.66884,0.67292,0.66867,0.66941,35057,0,1
2263,2022.02.21,0.66876,0.67335,0.66795,0.66941,34953,0,1
2264,2022.02.22,0.66941,0.67545,0.66908,0.67401,54457,0,1
2265,2022.02.23,0.67401,0.68093,0.67338,0.67692,46115,0,1
2266,2022.02.24,0.67692,0.67723,0.66302,0.66871,87620,0,1
2267,2022.02.25,0.66871,0.6751,0.66859,0.67437,61122,0,1
2268,2022.02.28,0.66912,0.67768,0.66754,0.67653,59316,0,1
2269,2022.03.01,0.67657,0.67906,0.67402,0.67657,53732,0,1
2270,2022.03.02,0.67657,0.67993,0.67439,0.67804,51323,0,1
2271,2022.03.03,0.67804,0.68093,0.67613,0.68081,46461,0,1
2272,2022.03.04,0.68081,0.68717,0.67673,0.68604,62439,0,1
2273,2022.03.07,0.68726,0.69251,0.68143,0.68356,70784,0,1
2274,2022.03.08,0.68356,0.685,0.67964,0.68024,71258,0,1
2275,2022.03.09,0.68024,0.68522,0.67959,0.68368,47060,0,1
2276,2022.03.10,0.68368,0.68744,0.68104,0.68727,45467,0,1
2277,2022.03.11,0.68727,0.68741,0.6798,0.68056,46590,0,1
2278,2022.03.14,0.68113,0.68133,0.67401,0.67474,45569,0,1
2279,2022.03.15,0.67473,0.67917,0.67282,0.67586,46929,0,1
2280,2022.03.16,0.67587,0.68445,0.67411,0.68291,49320,0,1
2281,2022.03.17,0.68291,0.68989,0.68232,0.68905,41270,0,1
2282,2022.03.18,0.68905,0.6913,0.68663,0.69054,38113,0,1
2283,2022.03.21,0.68968,0.69229,0.68705,0.68781,40495,0,1
2284,2022.03.22,0.68779,0.69731,0.68635,0.69627,41027,0,1
2285,2022.03.23,0.69627,0.69886,0.6935,0.69745,41042,0,1
2286,2022.03.24,0.69745,0.69773,0.69401,0.6963,40037,0,1
2287,2022.03.25,0.6963,0.69868,0.69438,0.69567,48573,0,1
2288,2022.03.28,0.69519,0.69627,0.6883,0.69009,52451,0,1
2289,2022.03.29,0.69009,0.69455,0.68757,0.6941,57588,0,1
2290,2022.03.30,0.6941,0.69984,0.69366,0.69727,52056,0,1
2291,2022.03.31,0.69727,0.6977,0.69274,0.6933,51818,0,1
2292,2022.04.01,0.69332,0.69478,0.6896,0.69171,48206,0,1
2293,2022.04.04,0.69122,0.69678,0.69045,0.69476,38764,0,1
2294,2022.04.05,0.69473,0.7034,0.69139,0.6949,48086,0,1
2295,2022.04.06,0.69488,0.6967,0.68962,0.69155,55862,0,1
2296,2022.04.07,0.69156,0.69194,0.68748,0.6889,50569,0,1
2297,2022.04.08,0.68879,0.68916,0.6822,0.68469,41872,0,1
2298,2022.04.11,0.68465,0.68523,0.68132,0.68238,50932,0,1
2299,2022.04.12,0.68238,0.68893,0.68057,0.68563,50095,0,1
2300,2022.04.13,0.68566,0.69014,0.67537,0.67956,56341,0,1
2301,2022.04.14,0.67956,0.68339,0.67673,0.67885,49691,0,1
2302,2022.04.15,0.67883,0.67922,0.67616,0.67658,25276,0,4
2303,2022.04.18,0.67757,0.67761,0.6715,0.67367,35048,0,1
2304,2022.04.19,0.67363,0.67638,0.67196,0.67375,48044,0,1
2305,2022.04.20,0.67381,0.68132,0.67343,0.67708,48630,0,1
2306,2022.04.21,0.67713,0.68039,0.67264,0.67329,55353,0,1
2307,2022.04.22,0.67329,0.67363,0.66255,0.66343,56955,0,1
2308,2022.04.25,0.66306,0.66336,0.65817,0.66176,67375,0,1
2309,2022.04.26,0.66172,0.66447,0.65584,0.65675,54212,0,1
2310,2022.04.27,0.65682,0.65907,0.65274,0.65411,51475,0,1
2311,2022.04.28,0.65416,0.65431,0.64516,0.64886,50794,0,1
2312,2022.04.29,0.64883,0.65429,0.6451,0.6456,48113,0,1
2313,2022.05.02,0.64596,0.64734,0.64119,0.64313,45557,0,1
2314,2022.05.03,0.64316,0.64753,0.64105,0.64373,45520,0,1
2315,2022.05.04,0.64354,0.6556,0.64219,0.65308,49881,0,1
2316,2022.05.05,0.65312,0.6568,0.63929,0.64307,59901,0,1
2317,2022.05.06,0.6432,0.64576,0.63944,0.64041,74776,0,1
2318,2022.05.09,0.63962,0.63982,0.63117,0.63158,64590,0,1
2319,2022.05.10,0.63171,0.63478,0.62758,0.62869,71321,0,1
2320,2022.05.11,0.62867,0.63796,0.62807,0.62914,71923,0,1
2321,2022.05.12,0.6292,0.6297,0.62111,0.6237,76852,0,1
2322,2022.05.13,0.62366,0.62891,0.62245,0.62883,58610,0,1
2323,2022.05.16,0.62843,0.6323,0.6228,0.63112,64319,0,1
2324,2022.05.17,0.63113,0.63753,0.63055,0.63615,57480,0,1
2325,2022.05.18,0.63626,0.63698,0.62888,0.63053,51389,0,1
2326,2022.05.19,0.63053,0.64173,0.62909,0.63803,75953,0,1
2327,2022.05.20,0.63803,0.64141,0.63633,0.64091,58251,0,1
2328,2022.05.23,0.64203,0.64918,0.64165,0.64483,52122,0,1
2329,2022.05.24,0.64502,0.6466,0.64229,0.64596,55946,0,1
2330,2022.05.25,0.64595,0.65143,0.64269,0.64839,61937,0,1
2331,2022.05.26,0.6484,0.64997,0.64465,0.64814,50922,0,1
2332,2022.05.27,0.64815,0.65497,0.64724,0.65345,41985,0,1
