,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
141,2013.07.04,12:00:00,1.66561,1.66671,1.64296,1.64474,16899,0,11
142,2013.07.04,16:00:00,1.64472,1.64944,1.64418,1.64661,7682,0,11
143,2013.07.04,20:00:00,1.64668,1.65174,1.64563,1.64634,6539,0,11
144,2013.07.05,00:00:00,1.64644,1.65282,1.64634,1.65128,8274,0,11
145,2013.07.05,04:00:00,1.65133,1.65199,1.64669,1.64678,10023,0,11
146,2013.07.05,08:00:00,1.64673,1.64806,1.64144,1.64374,13626,0,11
147,2013.07.05,12:00:00,1.64374,1.66882,1.6409,1.66408,22709,0,11
148,2013.07.05,16:00:00,1.66404,1.66734,1.66215,1.66273,7312,0,18
149,2013.07.05,20:00:00,1.66282,1.66484,1.66129,1.66384,1073,0,11
150,2013.07.08,00:00:00,1.66379,1.66396,1.65845,1.65934,6961,0,11
151,2013.07.08,04:00:00,1.65944,1.66054,1.65715,1.65885,9781,0,11
152,2013.07.08,08:00:00,1.65883,1.66117,1.65607,1.65664,10871,0,11
153,2013.07.08,12:00:00,1.65661,1.65754,1.64513,1.6487,13335,0,11
154,2013.07.08,16:00:00,1.6487,1.64975,1.64635,1.64827,6876,0,11
155,2013.07.08,20:00:00,1.64824,1.65152,1.64616,1.65147,7600,0,11
156,2013.07.09,00:00:00,1.65147,1.6551,1.6464,1.64771,10958,0,11
157,2013.07.09,04:00:00,1.64774,1.65004,1.63654,1.63814,13117,0,11
158,2013.07.09,08:00:00,1.63814,1.64141,1.63364,1.63604,13138,0,11
159,2013.07.09,12:00:00,1.63592,1.63766,1.6255,1.62589,17552,0,11
160,2013.07.09,16:00:00,1.62592,1.62844,1.62329,1.62584,8039,0,11
161,2013.07.09,20:00:00,1.62575,1.63304,1.62559,1.63207,5776,0,11
162,2013.07.10,00:00:00,1.63204,1.63294,1.62282,1.62914,10175,0,11
163,2013.07.10,04:00:00,1.62916,1.63034,1.62262,1.62759,13824,0,11
164,2013.07.10,08:00:00,1.62761,1.63478,1.62584,1.6314,14118,0,11
165,2013.07.10,12:00:00,1.6314,1.64837,1.63036,1.64836,15476,0,11
166,2013.07.10,16:00:00,1.64839,1.65514,1.64351,1.65164,13641,0,11
167,2013.07.10,20:00:00,1.65164,1.65956,1.64584,1.65653,15744,0,11
168,2013.07.11,00:00:00,1.65645,1.65854,1.64655,1.65402,14600,0,11
169,2013.07.11,04:00:00,1.65413,1.65454,1.64385,1.64947,16397,0,11
170,2013.07.11,08:00:00,1.64935,1.66238,1.64922,1.66088,15271,0,11
171,2013.07.11,12:00:00,1.6609,1.67975,1.65751,1.67258,20745,0,11
172,2013.07.11,16:00:00,1.67242,1.67445,1.66656,1.67149,13362,0,11
173,2013.07.11,20:00:00,1.67146,1.67314,1.66592,1.66861,7186,0,11
174,2013.07.12,00:00:00,1.66861,1.67335,1.66354,1.66354,9834,0,11
175,2013.07.12,04:00:00,1.66354,1.66413,1.65924,1.65998,10761,0,11
176,2013.07.12,08:00:00,1.65992,1.67598,1.65834,1.67389,15551,0,11
177,2013.07.12,12:00:00,1.67385,1.68053,1.66443,1.67724,17692,0,11
178,2013.07.12,16:00:00,1.67727,1.68041,1.6755,1.67723,9178,0,11
179,2013.07.12,20:00:00,1.67713,1.67832,1.67396,1.67682,1006,0,24
180,2013.07.15,00:00:00,1.67383,1.67773,1.67224,1.67405,7339,0,11
181,2013.07.15,04:00:00,1.67405,1.67527,1.66957,1.67022,9778,0,11
182,2013.07.15,08:00:00,1.67013,1.68096,1.6677,1.67904,14824,0,11
183,2013.07.15,12:00:00,1.67904,1.6817,1.66878,1.67076,16033,0,11
184,2013.07.15,16:00:00,1.67083,1.67433,1.66992,1.67233,7770,0,11
185,2013.07.15,20:00:00,1.67233,1.67604,1.67026,1.67383,6580,0,11
186,2013.07.16,00:00:00,1.67383,1.67473,1.66692,1.67097,9760,0,11
187,2013.07.16,04:00:00,1.67096,1.67238,1.66684,1.66814,11259,0,11
188,2013.07.16,08:00:00,1.66813,1.66986,1.66076,1.66507,15935,0,11
189,2013.07.16,12:00:00,1.66503,1.67056,1.66373,1.66849,17734,0,11
190,2013.07.16,16:00:00,1.66852,1.66925,1.66447,1.66749,7959,0,11
191,2013.07.16,20:00:00,1.66749,1.66898,1.6636,1.66369,7128,0,11
192,2013.07.17,00:00:00,1.6637,1.66973,1.66362,1.66753,9375,0,11
193,2013.07.17,04:00:00,1.66753,1.67465,1.66667,1.67382,11927,0,11
194,2013.07.17,08:00:00,1.6738,1.67613,1.66963,1.66996,13083,0,11
195,2013.07.17,12:00:00,1.66996,1.67233,1.65648,1.65875,21677,0,11
196,2013.07.17,16:00:00,1.65876,1.66377,1.65662,1.66034,11438,0,11
197,2013.07.17,20:00:00,1.66043,1.66173,1.65585,1.65893,6269,0,11
198,2013.07.18,00:00:00,1.65893,1.66616,1.65823,1.66441,10208,0,11
199,2013.07.18,04:00:00,1.66453,1.66842,1.662,1.66623,11092,0,11
200,2013.07.18,08:00:00,1.66628,1.66673,1.65803,1.66176,12393,0,10
201,2013.07.18,12:00:00,1.6618,1.66314,1.65666,1.65896,16780,0,1
202,2013.07.18,16:00:00,1.65893,1.66053,1.65753,1.6586,9280,0,14
203,2013.07.18,20:00:00,1.6586,1.66333,1.65733,1.65768,6795,0,13
204,2013.07.19,00:00:00,1.6577,1.66134,1.65712,1.66122,10721,0,3
205,2013.07.19,04:00:00,1.66122,1.66233,1.65513,1.65559,11154,0,5
206,2013.07.19,08:00:00,1.65556,1.65598,1.64263,1.64932,13484,0,1
207,2013.07.19,12:00:00,1.64932,1.65415,1.64613,1.65359,14181,0,3
208,2013.07.19,16:00:00,1.65365,1.65613,1.65227,1.6543,6749,0,11
209,2013.07.19,20:00:00,1.65439,1.65648,1.65359,1.65583,1090,0,24
210,2013.07.22,00:00:00,1.65781,1.65934,1.65485,1.65806,9541,0,2
211,2013.07.22,04:00:00,1.65809,1.66076,1.65536,1.66054,10330,0,4
212,2013.07.22,08:00:00,1.66059,1.66717,1.6588,1.65961,11818,0,3
213,2013.07.22,12:00:00,1.65961,1.66133,1.65513,1.65676,15501,0,6
214,2013.07.22,16:00:00,1.65674,1.65791,1.65464,1.65646,6526,0,10
215,2013.07.22,20:00:00,1.65653,1.65653,1.65173,1.65376,6704,0,12
216,2013.07.23,00:00:00,1.65383,1.65384,1.64783,1.65053,8005,0,11
217,2013.07.23,04:00:00,1.65053,1.65133,1.64759,1.65083,9890,0,2
218,2013.07.23,08:00:00,1.65096,1.65488,1.64863,1.65315,12378,0,5
219,2013.07.23,12:00:00,1.65316,1.65944,1.65167,1.65743,14726,0,1
220,2013.07.23,16:00:00,1.65773,1.65773,1.65223,1.65323,8641,0,2
221,2013.07.23,20:00:00,1.65311,1.65473,1.64957,1.65353,6781,0,9
222,2013.07.24,00:00:00,1.65353,1.66053,1.64977,1.65694,9838,0,3
223,2013.07.24,04:00:00,1.657,1.66686,1.65405,1.66663,11928,0,1
224,2013.07.24,08:00:00,1.66653,1.66683,1.65778,1.66,12782,0,4
225,2013.07.24,12:00:00,1.66002,1.66553,1.65837,1.66534,15528,0,5
226,2013.07.24,16:00:00,1.66533,1.66855,1.66232,1.66326,10840,0,2
227,2013.07.24,20:00:00,1.66326,1.6635,1.65266,1.65653,7574,0,9
228,2013.07.25,00:00:00,1.65653,1.65665,1.6534,1.6545,9723,0,11
229,2013.07.25,04:00:00,1.65453,1.6558,1.64939,1.64939,11866,0,6
230,2013.07.25,08:00:00,1.64934,1.65083,1.63995,1.64183,14944,0,3
231,2013.07.25,12:00:00,1.64183,1.64503,1.64092,1.64299,17822,0,3
232,2013.07.25,16:00:00,1.64296,1.64473,1.63943,1.64163,12415,0,8
233,2013.07.25,20:00:00,1.64161,1.64863,1.63983,1.64664,7884,0,1
234,2013.07.26,00:00:00,1.64664,1.64683,1.64044,1.64162,9099,0,7
235,2013.07.26,04:00:00,1.64156,1.64603,1.64065,1.64105,9578,0,7
236,2013.07.26,08:00:00,1.64111,1.64549,1.6399,1.64493,12495,0,1
237,2013.07.26,12:00:00,1.64494,1.64663,1.64143,1.64392,16214,0,1
238,2013.07.26,16:00:00,1.6439,1.64518,1.64043,1.64152,8014,0,6
239,2013.07.26,20:00:00,1.64154,1.64363,1.63782,1.63782,868,0,11
240,2013.07.29,00:00:00,1.64476,1.64533,1.64083,1.64294,8358,0,7
241,2013.07.29,04:00:00,1.64295,1.64603,1.64145,1.64383,10321,0,2
242,2013.07.29,08:00:00,1.64383,1.64773,1.64155,1.64314,11642,0,6
243,2013.07.29,12:00:00,1.64313,1.65332,1.64105,1.65253,15122,0,2
244,2013.07.29,16:00:00,1.65245,1.65453,1.65163,1.65213,6926,0,6
245,2013.07.29,20:00:00,1.65188,1.65581,1.64902,1.65221,4581,0,2
246,2013.07.30,00:00:00,1.65223,1.65983,1.64998,1.65871,10769,0,8
247,2013.07.30,04:00:00,1.65913,1.66133,1.65711,1.65947,11674,0,3
248,2013.07.30,08:00:00,1.65945,1.66339,1.65847,1.66147,12818,0,3
249,2013.07.30,12:00:00,1.66159,1.66496,1.65823,1.66374,15917,0,5
250,2013.07.30,16:00:00,1.66374,1.66452,1.66121,1.66234,7384,0,2
251,2013.07.30,20:00:00,1.66242,1.66266,1.65763,1.65963,7663,0,1
252,2013.07.31,00:00:00,1.65963,1.66751,1.65924,1.66213,10888,0,1
253,2013.07.31,04:00:00,1.66213,1.66373,1.65838,1.66183,12456,0,6
254,2013.07.31,08:00:00,1.66183,1.66443,1.65743,1.66234,13932,0,6
255,2013.07.31,12:00:00,1.66236,1.67183,1.66165,1.67176,18151,0,1
256,2013.07.31,16:00:00,1.67176,1.67261,1.66331,1.66538,13657,0,1
257,2013.07.31,20:00:00,1.66536,1.67689,1.6641,1.6703,6973,0,6
258,2013.08.01,00:00:00,1.6703,1.67223,1.66616,1.66724,8183,0,1
259,2013.08.01,04:00:00,1.66722,1.6677,1.66193,1.66417,8835,0,8
260,2013.08.01,08:00:00,1.6641,1.67019,1.66371,1.6656,11273,0,1
261,2013.08.01,12:00:00,1.66542,1.68403,1.66013,1.6799,20844,0,1
