,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
1381,2018.09.26,1.17659,1.17974,1.17256,1.17487,77306,0,3
1382,2018.09.27,1.17486,1.17568,1.16328,1.16345,86333,0,2
1383,2018.09.28,1.16345,1.16509,1.15693,1.1602,76019,0,4
1384,2018.10.01,1.16045,1.16243,1.15632,1.15752,65389,0,3
1385,2018.10.02,1.15752,1.15798,1.15048,1.15501,70332,0,3
1386,2018.10.03,1.15502,1.15933,1.14639,1.14833,85516,0,3
1387,2018.10.04,1.14833,1.15424,1.1463,1.1516,82137,0,3
1388,2018.10.05,1.1516,1.15494,1.14837,1.15234,86950,0,8
1389,2018.10.08,1.15247,1.15292,1.14596,1.1492,64646,0,5
1390,2018.10.09,1.1492,1.15029,1.14318,1.1495,90019,0,3
1391,2018.10.10,1.1495,1.1545,1.14794,1.15351,81634,0,2
1392,2018.10.11,1.15351,1.15989,1.15275,1.15918,113959,0,3
1393,2018.10.12,1.15918,1.16101,1.15339,1.15584,75750,0,3
1394,2018.10.15,1.15505,1.16059,1.15427,1.15835,68263,0,5
1395,2018.10.16,1.15835,1.16209,1.15657,1.15734,67751,0,5
1396,2018.10.17,1.15734,1.15801,1.14954,1.14978,78224,0,3
1397,2018.10.18,1.14978,1.15268,1.14487,1.14551,85892,0,2
1398,2018.10.19,1.14553,1.15342,1.14326,1.15142,85008,0,5
1399,2018.10.22,1.1511,1.15498,1.14553,1.14652,67221,0,2
1400,2018.10.23,1.14652,1.14931,1.14389,1.14694,87494,0,4
1401,2018.10.24,1.14694,1.14761,1.13783,1.13985,89854,0,5
1402,2018.10.25,1.13984,1.14322,1.13558,1.13737,83011,0,2
1403,2018.10.26,1.13737,1.14206,1.13353,1.14021,83648,0,8
1404,2018.10.29,1.13976,1.1416,1.13602,1.13752,74809,0,3
1405,2018.10.30,1.13752,1.13874,1.13401,1.13449,65506,0,3
1406,2018.10.31,1.13449,1.13598,1.13017,1.13143,73047,0,3
1407,2018.11.01,1.13143,1.14238,1.13123,1.14024,78113,0,3
1408,2018.11.02,1.14025,1.14555,1.13718,1.13859,81394,0,8
1409,2018.11.05,1.13973,1.14236,1.13526,1.14079,62393,0,3
1410,2018.11.06,1.1408,1.14414,1.1391,1.14408,66043,0,3
1411,2018.11.07,1.14408,1.14994,1.13942,1.14322,103188,0,3
1412,2018.11.08,1.14322,1.14465,1.13512,1.13675,81699,0,2
1413,2018.11.09,1.13675,1.13685,1.13157,1.13343,77363,0,8
1414,2018.11.12,1.13235,1.13303,1.12153,1.12232,73753,0,4
1415,2018.11.13,1.12233,1.132,1.12215,1.13106,89955,0,3
1416,2018.11.14,1.13107,1.13472,1.12628,1.13117,95633,0,3
1417,2018.11.15,1.13117,1.1362,1.12703,1.13241,101727,0,3
1418,2018.11.16,1.13241,1.14199,1.13212,1.1414,77525,0,8
1419,2018.11.19,1.14133,1.1464,1.13935,1.14537,55496,0,2
1420,2018.11.20,1.14537,1.14719,1.13583,1.13718,68305,0,3
1421,2018.11.21,1.13718,1.14243,1.13652,1.13882,65353,0,3
