,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
178,2014.02.07,0.74156,0.74703,0.73857,0.7437,18045,0,5
179,2014.02.10,0.74418,0.74486,0.74002,0.74162,11813,0,11
180,2014.02.11,0.74165,0.74885,0.74165,0.7465,15778,0,11
181,2014.02.12,0.74652,0.75355,0.74637,0.74836,15678,0,11
182,2014.02.13,0.74838,0.74861,0.7422,0.74496,16460,0,5
183,2014.02.14,0.74497,0.74845,0.74323,0.74412,13783,0,14
184,2014.02.17,0.74601,0.7477,0.74455,0.7468,12576,0,10
185,2014.02.18,0.74692,0.74736,0.73521,0.73521,16042,0,6
186,2014.02.19,0.73525,0.74126,0.73405,0.73537,15489,0,5
187,2014.02.20,0.73534,0.73975,0.7312,0.73888,16442,0,5
188,2014.02.21,0.73886,0.73973,0.73335,0.7335,12243,0,18
189,2014.02.24,0.73415,0.74133,0.73305,0.74017,13305,0,10
190,2014.02.25,0.74021,0.74146,0.73682,0.73833,13568,0,8
191,2014.02.26,0.73829,0.7415,0.73755,0.74032,14579,0,12
192,2014.02.27,0.74028,0.7459,0.73939,0.7454,16993,0,7
193,2014.02.28,0.74537,0.74722,0.73615,0.73615,16373,0,1
194,2014.03.03,0.73436,0.73997,0.73355,0.73881,15016,0,16
195,2014.03.04,0.73884,0.74547,0.73812,0.74395,15462,0,12
196,2014.03.05,0.74395,0.7485,0.74286,0.74653,14649,0,9
197,2014.03.06,0.74651,0.75268,0.74485,0.74547,17512,0,12
198,2014.03.07,0.7455,0.74747,0.73895,0.74175,16473,0,10
199,2014.03.10,0.7429,0.74447,0.74055,0.74372,14642,0,3
200,2014.03.11,0.74374,0.74764,0.74134,0.74255,16724,0,6
201,2014.03.12,0.74258,0.74864,0.73607,0.74752,23276,0,0
202,2014.03.13,0.74756,0.75006,0.74498,0.74769,27812,0,9
203,2014.03.14,0.74766,0.74867,0.74342,0.74355,17401,0,12
204,2014.03.17,0.74458,0.75128,0.74432,0.74749,16532,0,12
205,2014.03.18,0.74746,0.75646,0.74548,0.7517,20361,0,4
206,2014.03.19,0.75166,0.75544,0.75097,0.75146,25764,0,7
207,2014.03.20,0.75149,0.75596,0.75064,0.75381,21047,0,5
208,2014.03.21,0.75383,0.7568,0.7524,0.7527,14714,0,12
209,2014.03.24,0.75309,0.75693,0.75034,0.75359,21315,0,5
