,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
204,2013.07.19,00:00:00,100.564,100.864,99.806,100.032,16592,0,1
205,2013.07.19,04:00:00,100.034,100.372,99.906,100.348,11745,0,1
206,2013.07.19,08:00:00,100.348,100.472,100.185,100.316,9380,0,1
207,2013.07.19,12:00:00,100.314,100.429,100.105,100.305,10101,0,1
208,2013.07.19,16:00:00,100.305,100.37,100.203,100.346,4713,0,1
209,2013.07.19,20:00:00,100.346,100.641,100.313,100.617,1495,0,1
210,2013.07.22,00:00:00,100.379,100.379,99.613,99.978,13751,0,1
211,2013.07.22,04:00:00,99.978,100.153,99.865,100.003,9042,0,1
212,2013.07.22,08:00:00,100.003,100.105,99.867,99.943,7320,0,1
213,2013.07.22,12:00:00,99.941,99.956,99.285,99.603,11199,0,1
214,2013.07.22,16:00:00,99.612,99.647,99.41,99.52,4017,0,1
215,2013.07.22,20:00:00,99.523,99.682,99.235,99.317,5199,0,1
216,2013.07.23,00:00:00,99.326,99.646,99.144,99.551,9533,0,1
217,2013.07.23,04:00:00,99.553,99.584,99.343,99.474,8215,0,1
218,2013.07.23,08:00:00,99.473,100.18,99.404,100.085,10936,0,1
219,2013.07.23,12:00:00,100.085,100.133,99.658,99.776,10680,0,1
220,2013.07.23,16:00:00,99.778,99.778,99.356,99.453,6432,0,1
221,2013.07.23,20:00:00,99.451,99.562,99.383,99.511,3988,0,1
222,2013.07.24,00:00:00,99.512,99.799,99.42,99.749,8513,0,1
223,2013.07.24,04:00:00,99.749,99.979,99.626,99.937,8824,0,1
224,2013.07.24,08:00:00,99.937,100.169,99.916,100.057,8815,0,1
225,2013.07.24,12:00:00,100.057,100.435,100.028,100.215,11429,0,1
226,2013.07.24,16:00:00,100.216,100.438,100.148,100.288,7569,0,1
227,2013.07.24,20:00:00,100.289,100.453,100.189,100.4,4060,0,1
228,2013.07.25,00:00:00,100.401,100.419,99.993,100.155,9134,0,1
229,2013.07.25,04:00:00,100.157,100.163,99.768,99.985,9477,0,1
230,2013.07.25,08:00:00,99.99,100.051,99.622,99.728,10141,0,1
231,2013.07.25,12:00:00,99.723,99.98,99.443,99.563,12470,0,1
232,2013.07.25,16:00:00,99.564,99.684,99.146,99.166,8081,0,1
233,2013.07.25,20:00:00,99.154,99.406,98.888,99.253,7474,0,1
234,2013.07.26,00:00:00,99.253,99.361,98.682,98.822,11675,0,1
235,2013.07.26,04:00:00,98.822,98.934,98.624,98.728,10074,0,1
236,2013.07.26,08:00:00,98.729,98.729,98.485,98.62,9923,0,1
237,2013.07.26,12:00:00,98.617,98.704,97.961,98.238,14293,0,1
238,2013.07.26,16:00:00,98.238,98.32,97.992,98.161,5715,0,1
239,2013.07.26,20:00:00,98.158,98.311,98.158,98.224,1165,0,1
240,2013.07.29,00:00:00,97.962,98.202,97.633,97.866,11788,0,1
241,2013.07.29,04:00:00,97.864,98.104,97.741,97.98,10825,0,1
242,2013.07.29,08:00:00,97.981,98.035,97.674,97.856,9234,0,1
243,2013.07.29,12:00:00,97.856,98.178,97.806,97.806,10884,0,1
244,2013.07.29,16:00:00,97.81,98.005,97.678,97.863,5356,0,1
245,2013.07.29,20:00:00,97.862,98.074,97.828,98.04,3728,0,1
246,2013.07.30,00:00:00,98.05,98.445,98.018,98.314,10550,0,1
247,2013.07.30,04:00:00,98.309,98.462,98.115,98.158,8670,0,1
248,2013.07.30,08:00:00,98.155,98.222,97.758,97.855,9424,0,1
249,2013.07.30,12:00:00,97.854,98.337,97.784,98.025,10915,0,1
250,2013.07.30,16:00:00,98.025,98.151,97.93,97.99,4465,0,1
251,2013.07.30,20:00:00,97.988,98.139,97.971,98.01,4380,0,1
252,2013.07.31,00:00:00,98.012,98.159,97.846,98.085,10284,0,1
253,2013.07.31,04:00:00,98.087,98.102,97.776,97.847,10076,0,1
254,2013.07.31,08:00:00,97.847,97.864,97.584,97.76,10100,0,1
255,2013.07.31,12:00:00,97.76,98.516,97.74,98.338,13906,0,1
256,2013.07.31,16:00:00,98.348,98.417,97.682,97.896,10849,0,1
257,2013.07.31,20:00:00,97.91,97.956,97.727,97.845,5086,0,1
258,2013.08.01,00:00:00,97.845,98.359,97.654,98.332,10114,0,1
259,2013.08.01,04:00:00,98.332,98.788,98.233,98.598,9402,0,1
260,2013.08.01,08:00:00,98.597,98.857,98.552,98.714,7612,0,1
261,2013.08.01,12:00:00,98.733,99.393,98.603,99.308,15002,0,1
262,2013.08.01,16:00:00,99.305,99.57,99.2,99.507,6544,0,1
263,2013.08.01,20:00:00,99.503,99.565,99.39,99.424,4076,0,1
264,2013.08.02,00:00:00,99.429,99.696,99.278,99.32,9618,0,1
265,2013.08.02,04:00:00,99.32,99.752,99.288,99.572,9295,0,1
266,2013.08.02,08:00:00,99.571,99.855,99.55,99.812,8301,0,1
267,2013.08.02,12:00:00,99.811,99.948,98.662,99.035,16880,0,1
268,2013.08.02,16:00:00,99.034,99.103,98.816,98.85,5275,0,1
269,2013.08.02,20:00:00,98.854,98.973,98.848,98.92,1423,0,1
270,2013.08.05,00:00:00,98.928,99.149,98.704,98.777,8588,0,1
271,2013.08.05,04:00:00,98.776,98.853,98.284,98.412,9343,0,1
272,2013.08.05,08:00:00,98.416,98.527,98.317,98.513,7397,0,1
273,2013.08.05,12:00:00,98.514,98.777,98.493,98.544,8784,0,1
274,2013.08.05,16:00:00,98.544,98.702,98.26,98.28,5500,0,1
275,2013.08.05,20:00:00,98.279,98.33,98.189,98.245,3983,0,1
276,2013.08.06,00:00:00,98.246,98.281,97.837,98.131,10911,0,1
277,2013.08.06,04:00:00,98.132,98.584,98.102,98.366,10243,0,1
278,2013.08.06,08:00:00,98.364,98.459,98.016,98.116,7995,0,1
279,2013.08.06,12:00:00,98.115,98.231,97.512,97.852,12361,0,1
280,2013.08.06,16:00:00,97.849,97.874,97.598,97.714,5863,0,1
281,2013.08.06,20:00:00,97.714,97.807,97.103,97.344,7007,0,1
282,2013.08.07,00:00:00,97.343,97.531,97.091,97.238,10479,0,1
283,2013.08.07,04:00:00,97.239,97.354,96.769,96.884,12972,0,1
284,2013.08.07,08:00:00,96.884,97.34,96.828,97.259,11798,0,1
285,2013.08.07,12:00:00,97.262,97.262,96.423,96.74,14102,0,1
286,2013.08.07,16:00:00,96.738,96.74,96.331,96.435,6430,0,1
287,2013.08.07,20:00:00,96.436,96.591,96.322,96.564,5725,0,1
288,2013.08.08,00:00:00,96.564,96.934,96.479,96.734,12258,0,1
289,2013.08.08,04:00:00,96.735,96.856,96.097,96.226,13165,0,1
290,2013.08.08,08:00:00,96.23,96.413,96.195,96.301,8071,0,1
291,2013.08.08,12:00:00,96.297,96.452,95.809,96.033,13408,0,1
292,2013.08.08,16:00:00,96.032,96.713,95.975,96.693,7848,0,1
293,2013.08.08,20:00:00,96.691,96.857,96.541,96.761,4929,0,1
294,2013.08.09,00:00:00,96.76,96.969,96.329,96.43,11572,0,1
295,2013.08.09,04:00:00,96.431,96.806,96.383,96.657,9023,0,1
296,2013.08.09,08:00:00,96.655,96.761,96.404,96.476,7358,0,1
297,2013.08.09,12:00:00,96.478,96.518,96.175,96.249,10605,0,1
298,2013.08.09,16:00:00,96.251,96.486,96.127,96.191,6412,0,1
299,2013.08.09,20:00:00,96.19,96.281,96.162,96.218,1250,0,1
300,2013.08.12,00:00:00,96.055,96.637,95.98,96.554,10813,0,1
301,2013.08.12,04:00:00,96.553,96.858,96.364,96.75,8131,0,1
302,2013.08.12,08:00:00,96.758,96.854,96.635,96.747,6497,0,1
303,2013.08.12,12:00:00,96.745,96.911,96.403,96.451,9693,0,1
304,2013.08.12,16:00:00,96.451,96.802,96.446,96.794,4682,0,1
305,2013.08.12,20:00:00,96.794,97.307,96.785,97.193,7088,0,1
306,2013.08.13,00:00:00,97.192,97.437,97.143,97.309,9048,0,1
307,2013.08.13,04:00:00,97.311,97.836,97.233,97.723,10472,0,1
308,2013.08.13,08:00:00,97.72,98.119,97.709,98.038,9953,0,1
309,2013.08.13,12:00:00,98.038,98.262,97.886,98.073,13499,0,1
310,2013.08.13,16:00:00,98.074,98.341,98.032,98.133,6285,0,1
311,2013.08.13,20:00:00,98.138,98.295,98.132,98.132,3605,0,1
312,2013.08.14,00:00:00,98.133,98.308,97.922,97.952,8384,0,1
313,2013.08.14,04:00:00,97.951,98.427,97.864,98.182,11219,0,1
314,2013.08.14,08:00:00,98.182,98.361,98.133,98.295,7663,0,1
315,2013.08.14,12:00:00,98.294,98.305,97.938,98.154,10756,0,1
316,2013.08.14,16:00:00,98.154,98.2,98.041,98.065,4682,0,1
