,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
144,2013.12.20,170.673,171.052,169.771,169.954,55127,0,2
145,2013.12.23,170.148,170.431,169.766,170.359,42419,0,2
146,2013.12.24,170.353,170.812,170.13,170.669,33369,0,5
147,2013.12.26,171.621,172.499,171.507,172.364,28062,0,1
148,2013.12.27,172.361,173.937,172.136,173.327,46934,0,3
149,2013.12.30,173.607,173.854,172.957,173.109,44333,0,1
150,2013.12.31,173.112,174.512,172.824,174.35,38529,0,1
151,2014.01.01,174.341,174.844,174.321,174.592,12758,0,12
152,2014.01.02,174.592,174.841,171.827,172.43,81985,0,1
153,2014.01.03,172.426,172.502,171.042,172.092,63251,0,3
154,2014.01.06,171.715,172.124,170.402,171.277,72156,0,1
155,2014.01.07,171.277,171.749,170.827,171.538,66303,0,1
156,2014.01.08,171.537,172.835,171.499,172.351,69676,0,1
157,2014.01.09,172.351,173.119,172.191,172.842,61341,0,2
158,2014.01.10,172.847,173.026,171.245,171.652,57102,0,1
159,2014.01.13,171.437,171.44,168.341,169.242,68812,0,1
160,2014.01.14,169.242,171.444,169.172,171.051,67610,0,1
161,2014.01.15,171.047,171.582,170.432,171.377,63930,0,1
162,2014.01.16,171.377,171.784,170.193,170.618,62510,0,1
163,2014.01.17,170.617,171.868,170.174,171.277,55006,0,3
164,2014.01.20,170.549,171.533,170.3,171.451,50436,0,1
165,2014.01.21,171.447,172.368,171.301,171.791,63059,0,1
166,2014.01.22,171.79,173.644,171.319,173.439,66852,0,1
167,2014.01.23,173.44,173.514,171.203,171.928,81391,0,1
168,2014.01.24,171.923,172.312,168.435,168.435,82461,0,1
169,2014.01.27,168.82,170.527,168.356,170.236,82933,0,1
170,2014.01.28,170.233,171.374,170.0,170.922,74212,0,1
171,2014.01.29,170.914,171.456,168.687,169.187,81591,0,1
172,2014.01.30,169.187,169.773,168.165,169.577,76755,0,1
173,2014.01.31,169.584,169.746,167.542,167.568,73702,0,1
174,2014.02.03,168.069,168.22,164.285,165.08,83631,0,1
175,2014.02.04,165.08,166.149,163.88,165.819,81648,0,1
176,2014.02.05,165.816,165.932,163.95,165.737,102642,0,1
177,2014.02.06,165.737,166.819,165.043,166.474,96041,0,1
178,2014.02.07,166.473,168.037,166.142,167.921,82881,0,1
179,2014.02.10,168.105,168.215,167.196,167.788,55825,0,1
180,2014.02.11,167.79,169.082,167.582,168.486,61255,0,1
181,2014.02.12,168.485,170.422,168.318,170.223,68010,0,1
