,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
90,2013.06.24,00:00:00,1.4178,1.42411,1.41695,1.42162,15147,0,5
91,2013.06.24,04:00:00,1.42173,1.43075,1.42065,1.42879,17698,0,5
92,2013.06.24,08:00:00,1.42883,1.43148,1.42328,1.42336,20811,0,5
93,2013.06.24,12:00:00,1.42333,1.42461,1.41236,1.41747,26736,0,5
94,2013.06.24,16:00:00,1.4174,1.41782,1.4128,1.41653,19863,0,5
95,2013.06.24,20:00:00,1.41653,1.41894,1.41522,1.41596,9299,0,5
96,2013.06.25,00:00:00,1.41598,1.42461,1.41542,1.42391,14385,0,5
97,2013.06.25,04:00:00,1.42386,1.42555,1.41555,1.41641,18609,0,5
98,2013.06.25,08:00:00,1.41649,1.41871,1.41278,1.41667,19872,0,5
99,2013.06.25,12:00:00,1.41667,1.41807,1.41256,1.41446,25034,0,5
100,2013.06.25,16:00:00,1.41449,1.41522,1.41095,1.41329,14407,0,5
101,2013.06.25,20:00:00,1.4133,1.41642,1.41019,1.41388,8414,0,5
102,2013.06.26,00:00:00,1.41391,1.41617,1.41049,1.41283,17018,0,5
103,2013.06.26,04:00:00,1.41283,1.41334,1.40415,1.40638,18728,0,5
104,2013.06.26,08:00:00,1.4064,1.40725,1.40005,1.40457,21090,0,5
105,2013.06.26,12:00:00,1.40455,1.40579,1.39368,1.39981,24647,0,5
106,2013.06.26,16:00:00,1.39981,1.40544,1.39796,1.40208,14785,0,5
107,2013.06.26,20:00:00,1.40211,1.40305,1.40008,1.40094,6649,0,5
108,2013.06.27,00:00:00,1.40093,1.40248,1.39571,1.39679,9585,0,84
109,2013.06.27,04:00:00,1.39681,1.40084,1.39527,1.39848,11833,0,34
110,2013.06.27,08:00:00,1.39849,1.40219,1.39724,1.40076,16876,0,34
111,2013.06.27,12:00:00,1.40077,1.40184,1.39735,1.40134,19297,0,34
112,2013.06.27,16:00:00,1.40132,1.40672,1.40076,1.40577,13381,0,34
113,2013.06.27,20:00:00,1.40581,1.40673,1.40324,1.40377,6297,0,84
114,2013.06.28,00:00:00,1.40378,1.41475,1.4035,1.41147,11865,0,84
115,2013.06.28,04:00:00,1.41148,1.41259,1.40736,1.40806,11695,0,34
116,2013.06.28,08:00:00,1.40802,1.41491,1.40778,1.41491,13853,0,34
117,2013.06.28,12:00:00,1.41496,1.42545,1.41425,1.42007,20072,0,34
