,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
130,2013.12.02,0.86675,0.87304,0.86613,0.87225,24160,0,8
131,2013.12.03,0.87222,0.88019,0.86836,0.87364,27851,0,9
132,2013.12.04,0.87361,0.87729,0.86987,0.8759,29464,0,7
133,2013.12.05,0.8758,0.87779,0.86899,0.87504,28028,0,4
134,2013.12.06,0.87501,0.88396,0.86754,0.88017,25982,0,3
135,2013.12.09,0.88279,0.8863,0.87869,0.88031,21783,0,11
136,2013.12.10,0.88028,0.88512,0.87916,0.87977,22751,0,2
137,2013.12.11,0.87977,0.8806,0.8705,0.87603,25571,0,3
138,2013.12.12,0.87611,0.87999,0.87165,0.8756,27026,0,10
139,2013.12.13,0.87563,0.87892,0.87392,0.87411,19744,0,8
140,2013.12.16,0.87423,0.87699,0.87272,0.87549,19580,0,8
141,2013.12.17,0.8755,0.87848,0.87354,0.87686,20359,0,5
142,2013.12.18,0.87681,0.88313,0.8733,0.87954,31448,0,1
143,2013.12.19,0.87952,0.87992,0.87141,0.87347,24641,0,7
144,2013.12.20,0.87347,0.87772,0.87011,0.87085,23792,0,7
145,2013.12.23,0.87318,0.87384,0.86794,0.8698,19523,0,5
146,2013.12.24,0.8698,0.87053,0.86692,0.86909,12829,0,10
147,2013.12.26,0.86853,0.86972,0.86588,0.86784,10676,0,11
148,2013.12.27,0.86794,0.87603,0.86721,0.87172,17458,0,9
149,2013.12.30,0.87125,0.8759,0.87037,0.87457,20513,0,11
150,2013.12.31,0.87453,0.87592,0.87332,0.87509,14551,0,5
151,2014.01.01,0.8719,0.875,0.8713,0.8732,1169,0,25
152,2014.01.02,0.87296,0.87535,0.86635,0.87469,29743,0,4
153,2014.01.03,0.87465,0.88311,0.87272,0.87922,23251,0,8
154,2014.01.06,0.87826,0.88474,0.87618,0.88187,24736,0,7
155,2014.01.07,0.88185,0.8932,0.88153,0.89243,26732,0,3
156,2014.01.08,0.89234,0.89834,0.89183,0.89431,28009,0,4
157,2014.01.09,0.89434,0.89747,0.89255,0.89417,26793,0,6
158,2014.01.10,0.89417,0.90613,0.89109,0.90332,25865,0,8
159,2014.01.13,0.90407,0.91436,0.90407,0.91131,28017,0,1
160,2014.01.14,0.91135,0.92089,0.90993,0.91663,28241,0,1
161,2014.01.15,0.91665,0.91836,0.91032,0.91112,28548,0,11
162,2014.01.16,0.91111,0.9139,0.90628,0.91229,26180,0,6
163,2014.01.17,0.91232,0.91245,0.90379,0.90379,22045,0,3
164,2014.01.20,0.90263,0.91332,0.89947,0.913,22939,0,5
165,2014.01.21,0.913,0.91536,0.91092,0.91204,24854,0,7
166,2014.01.22,0.91204,0.92226,0.9111,0.92068,25734,0,10
167,2014.01.23,0.92064,0.92832,0.9187,0.91991,35656,0,2
168,2014.01.24,0.91988,0.92167,0.90987,0.91007,30793,0,3
169,2014.01.27,0.91015,0.91637,0.90689,0.91427,27853,0,1
170,2014.01.28,0.91423,0.92512,0.9141,0.92294,26926,0,1
171,2014.01.29,0.92298,0.92576,0.91271,0.91817,31335,0,3
172,2014.01.30,0.91811,0.91829,0.9071,0.91017,30129,0,2
173,2014.01.31,0.91023,0.91224,0.89769,0.89882,26526,0,3
174,2014.02.03,0.90173,0.90354,0.89461,0.89493,26993,0,2
175,2014.02.04,0.89493,0.91437,0.89388,0.90997,29951,0,3
176,2014.02.05,0.91001,0.9127,0.90706,0.9114,32960,0,1
177,2014.02.06,0.91145,0.91777,0.90815,0.9118,28310,0,1
178,2014.02.07,0.9118,0.91592,0.90774,0.91453,29943,0,2
179,2014.02.10,0.914,0.91835,0.91022,0.91825,18468,0,7
180,2014.02.11,0.91825,0.92217,0.91426,0.91592,23184,0,7
181,2014.02.12,0.91588,0.91966,0.9131,0.9154,22372,0,1
182,2014.02.13,0.91543,0.9196,0.91339,0.9151,23181,0,6
183,2014.02.14,0.9151,0.92006,0.91262,0.91791,20950,0,3
184,2014.02.17,0.91892,0.92014,0.91527,0.91686,17889,0,6
185,2014.02.18,0.91703,0.91746,0.90772,0.90773,24956,0,4
186,2014.02.19,0.90776,0.92053,0.90619,0.91673,28176,0,3
187,2014.02.20,0.91676,0.9242,0.91371,0.92364,27225,0,3
188,2014.02.21,0.92368,0.92761,0.91902,0.91902,22713,0,1
189,2014.02.24,0.91994,0.92332,0.91855,0.92145,22513,0,2
190,2014.02.25,0.92146,0.92445,0.92021,0.92346,20732,0,6
191,2014.02.26,0.92349,0.92604,0.92074,0.92545,23665,0,3
192,2014.02.27,0.92541,0.93471,0.92467,0.93374,25575,0,3
193,2014.02.28,0.93377,0.93802,0.92613,0.92656,23499,0,2
194,2014.03.03,0.92366,0.92955,0.92199,0.92638,23318,0,4
195,2014.03.04,0.92635,0.93199,0.92601,0.92929,23457,0,5
196,2014.03.05,0.92929,0.93369,0.92736,0.92834,21774,0,5
197,2014.03.06,0.92837,0.93552,0.92824,0.93186,23831,0,4
198,2014.03.07,0.93186,0.93978,0.9308,0.93815,26515,0,0
199,2014.03.10,0.94028,0.94235,0.93763,0.9413,26977,0,2
200,2014.03.11,0.94133,0.9457,0.93853,0.93993,29108,0,5
201,2014.03.12,0.93998,0.95123,0.93762,0.94984,41584,0,1
202,2014.03.13,0.94987,0.95214,0.94175,0.94649,42646,0,0
203,2014.03.14,0.94652,0.94885,0.94527,0.94677,30669,0,1
204,2014.03.17,0.94688,0.94952,0.94607,0.94638,30796,0,4
205,2014.03.18,0.94638,0.96194,0.94379,0.95767,39103,0,0
206,2014.03.19,0.95762,0.96559,0.95669,0.95942,49592,0,2
207,2014.03.20,0.95945,0.96211,0.95821,0.95942,35941,0,0
208,2014.03.21,0.95942,0.96279,0.95446,0.95702,32486,0,0
209,2014.03.24,0.95846,0.96012,0.95517,0.95796,34051,0,0
210,2014.03.25,0.95796,0.95963,0.95391,0.95726,32515,0,7
211,2014.03.26,0.95718,0.96161,0.9528,0.95333,39917,0,2
212,2014.03.27,0.95331,0.96275,0.95301,0.9576,42542,0,1
213,2014.03.28,0.95757,0.95928,0.95472,0.95697,26926,0,6
214,2014.03.31,0.95813,0.9597,0.95174,0.95845,35232,0,0
215,2014.04.01,0.95844,0.96239,0.95001,0.95018,31686,0,3
216,2014.04.02,0.95019,0.95054,0.94225,0.94566,33497,0,1
217,2014.04.03,0.94572,0.94651,0.93789,0.94382,31517,0,1
218,2014.04.04,0.94382,0.94516,0.93847,0.94349,31714,0,1
219,2014.04.07,0.94547,0.94611,0.94217,0.94478,24086,0,1
220,2014.04.08,0.94481,0.94957,0.94433,0.94716,42391,0,3
221,2014.04.09,0.94716,0.95176,0.94124,0.9486,39509,0,2
222,2014.04.10,0.94864,0.95198,0.94704,0.94767,28999,0,6
223,2014.04.11,0.94764,0.95442,0.94332,0.9532,24277,0,3
224,2014.04.14,0.95294,0.9544,0.9472,0.95237,21356,0,7
225,2014.04.15,0.95236,0.95303,0.94406,0.94453,27418,0,4
226,2014.04.16,0.94441,0.95118,0.94172,0.95013,30001,0,3
227,2014.04.17,0.95011,0.95161,0.94255,0.94368,21387,0,7
228,2014.04.18,0.94368,0.94634,0.94297,0.94556,11664,0,13
229,2014.04.21,0.94649,0.94649,0.94208,0.94482,12933,0,7
230,2014.04.22,0.94479,0.95008,0.94423,0.94973,20425,0,3
231,2014.04.23,0.94974,0.95117,0.94487,0.95007,22703,0,2
232,2014.04.24,0.95005,0.95257,0.94244,0.94453,19893,0,8
233,2014.04.25,0.9445,0.94791,0.94308,0.94669,15991,0,12
234,2014.04.28,0.94678,0.94759,0.93997,0.94063,19965,0,11
235,2014.04.29,0.94066,0.94086,0.93542,0.93771,22687,0,10
236,2014.04.30,0.93767,0.94554,0.93653,0.94405,22339,0,11
237,2014.05.01,0.94397,0.94729,0.94321,0.94591,22545,0,7
238,2014.05.02,0.94591,0.95198,0.94396,0.94925,30953,0,1
239,2014.05.05,0.95041,0.95324,0.94797,0.95159,15254,0,4
240,2014.05.06,0.9516,0.95898,0.94647,0.94836,27861,0,3
241,2014.05.07,0.94828,0.94837,0.94164,0.94251,26194,0,3
242,2014.05.08,0.94254,0.94379,0.9346,0.93635,29337,0,11
243,2014.05.09,0.93633,0.94135,0.93272,0.93771,19242,0,12
244,2014.05.12,0.9399,0.941,0.93765,0.93959,16719,0,10
245,2014.05.13,0.93967,0.94413,0.93896,0.94083,22570,0,3
246,2014.05.14,0.94086,0.94588,0.94051,0.94291,18194,0,6
247,2014.05.15,0.94287,0.94448,0.93861,0.94108,19820,0,4
248,2014.05.16,0.94107,0.94108,0.93623,0.93623,24922,0,18
249,2014.05.19,0.93825,0.93991,0.93674,0.93835,29236,0,20
250,2014.05.20,0.93832,0.93846,0.93254,0.93397,35518,0,19
251,2014.05.21,0.93396,0.93657,0.93267,0.9347,36073,0,1
252,2014.05.22,0.93471,0.93676,0.93147,0.93299,25482,0,7
253,2014.05.23,0.93295,0.93389,0.9278,0.92799,26714,0,2
254,2014.05.26,0.92816,0.92978,0.92658,0.92927,27838,0,18
255,2014.05.27,0.92929,0.93031,0.92603,0.92983,33411,0,16
256,2014.05.28,0.92982,0.92982,0.91989,0.92203,38910,0,16
257,2014.05.29,0.92201,0.92497,0.91649,0.91969,40955,0,16
258,2014.05.30,0.91968,0.92256,0.91782,0.92121,34930,0,16
259,2014.06.02,0.92026,0.92347,0.91801,0.92017,20149,0,2
260,2014.06.03,0.92018,0.92389,0.91853,0.92088,21194,0,11
261,2014.06.04,0.92088,0.9224,0.91807,0.9218,21425,0,7
262,2014.06.05,0.92173,0.93007,0.92173,0.92646,23816,0,8
263,2014.06.06,0.92645,0.93525,0.92619,0.92862,22294,0,1
264,2014.06.09,0.92962,0.93184,0.92482,0.92625,15615,0,14
265,2014.06.10,0.92627,0.93022,0.9262,0.92933,17464,0,8
266,2014.06.11,0.92933,0.93729,0.92557,0.93526,22504,0,7
267,2014.06.12,0.93526,0.94402,0.93526,0.94159,33395,0,3
268,2014.06.13,0.9416,0.94213,0.93803,0.93861,31469,0,1
269,2014.06.16,0.94051,0.94387,0.94011,0.94073,17710,0,1
270,2014.06.17,0.94069,0.94229,0.93874,0.9406,17406,0,7
271,2014.06.18,0.94058,0.94728,0.94019,0.9446,22346,0,6
272,2014.06.19,0.94456,0.94539,0.94159,0.94196,22094,0,8
273,2014.06.20,0.94196,0.94351,0.93387,0.93512,18052,0,3
274,2014.06.23,0.93586,0.93868,0.93385,0.93424,22538,0,7
275,2014.06.24,0.93421,0.93517,0.9308,0.93118,21954,0,5
276,2014.06.25,0.93113,0.93738,0.93067,0.93662,20521,0,1
277,2014.06.26,0.93666,0.9403,0.93662,0.93775,25213,0,7
278,2014.06.27,0.93775,0.93872,0.93475,0.93567,16963,0,2
279,2014.06.30,0.93572,0.93652,0.93196,0.93508,23276,0,14
280,2014.07.01,0.93503,0.93674,0.93154,0.93177,28916,0,21
281,2014.07.02,0.93176,0.93602,0.93059,0.93474,28439,0,20
282,2014.07.03,0.93474,0.93633,0.92992,0.93014,34074,0,3
283,2014.07.04,0.93013,0.93164,0.92842,0.93016,20790,0,3
284,2014.07.07,0.9302,0.93591,0.92888,0.93445,28118,0,3
285,2014.07.08,0.93441,0.9405,0.93431,0.93822,29825,0,3
286,2014.07.09,0.9382,0.94106,0.93694,0.93971,31002,0,3
287,2014.07.10,0.93972,0.94086,0.93758,0.93812,30033,0,3
288,2014.07.11,0.9381,0.94638,0.93672,0.94572,43175,0,1
289,2014.07.14,0.9453,0.94787,0.94225,0.94412,40654,0,1
290,2014.07.15,0.94415,0.94554,0.93774,0.93885,42621,0,1
291,2014.07.16,0.93883,0.9403,0.9346,0.93556,32730,0,10
292,2014.07.17,0.93615,0.93631,0.93074,0.93241,34307,0,7
293,2014.07.18,0.93234,0.93442,0.92922,0.93318,25756,0,13
294,2014.07.21,0.93472,0.93555,0.93138,0.93161,17366,0,15
295,2014.07.22,0.93155,0.93342,0.92913,0.931,45178,0,2
296,2014.07.23,0.93099,0.93386,0.92236,0.92416,63323,0,3
297,2014.07.24,0.92393,0.92585,0.9196,0.92176,67353,0,7
298,2014.07.25,0.92176,0.92595,0.9184,0.92537,58380,0,9
299,2014.07.28,0.92451,0.92545,0.92192,0.92303,46988,0,12
300,2014.07.29,0.92302,0.92424,0.91937,0.92324,65011,0,9
301,2014.07.30,0.92317,0.92637,0.92233,0.9257,55004,0,13
302,2014.07.31,0.92569,0.92874,0.92284,0.92672,24748,0,16
303,2014.08.01,0.92676,0.9295,0.92281,0.92811,25602,0,16
304,2014.08.04,0.92938,0.93092,0.92836,0.92932,30392,0,20
305,2014.08.05,0.92935,0.93251,0.92383,0.92518,52489,0,20
306,2014.08.06,0.92518,0.92733,0.92344,0.92484,46538,0,20
307,2014.08.07,0.92486,0.92778,0.92302,0.92398,46788,0,20
308,2014.08.08,0.92401,0.93083,0.92256,0.92809,44039,0,20
309,2014.08.11,0.92842,0.9299,0.92328,0.9238,29509,0,20
310,2014.08.12,0.92381,0.92394,0.92,0.92044,36478,0,20
311,2014.08.13,0.92048,0.9264,0.91964,0.92534,42189,0,20
312,2014.08.14,0.92535,0.92812,0.92342,0.92488,34177,0,20
313,2014.08.15,0.92488,0.92662,0.92206,0.92481,30454,0,20
314,2014.08.18,0.92357,0.92465,0.92069,0.92117,21593,0,20
315,2014.08.19,0.92117,0.92347,0.91777,0.92108,40276,0,20
316,2014.08.20,0.92104,0.92166,0.91694,0.91839,47930,0,20
317,2014.08.21,0.91839,0.92065,0.91671,0.91891,38696,0,20
318,2014.08.22,0.91891,0.92379,0.91809,0.91958,38148,0,20
319,2014.08.25,0.91632,0.91743,0.91323,0.91393,33067,0,20
320,2014.08.26,0.91396,0.91601,0.91126,0.91316,38054,0,20
321,2014.08.27,0.91316,0.91447,0.90691,0.90923,44700,0,20
322,2014.08.28,0.90923,0.91216,0.90813,0.90904,40187,0,3
323,2014.08.29,0.90911,0.91113,0.90651,0.90888,28510,0,3
324,2014.09.01,0.90848,0.91209,0.90838,0.91136,29332,0,20
325,2014.09.02,0.91139,0.91144,0.90631,0.90718,45970,0,20
326,2014.09.03,0.9072,0.90963,0.90382,0.90612,47706,0,1
327,2014.09.04,0.90613,0.90786,0.90049,0.90077,54900,0,1
328,2014.09.05,0.90077,0.90801,0.90047,0.90581,47710,0,1
329,2014.09.08,0.90518,0.90937,0.90477,0.9082,50803,0,1
330,2014.09.09,0.90825,0.90982,0.9042,0.90596,60006,0,1
331,2014.09.10,0.90596,0.90628,0.90017,0.90023,45751,0,1
332,2014.09.11,0.89761,0.90447,0.89539,0.90309,58921,0,1
333,2014.09.12,0.90311,0.90508,0.90158,0.90308,90633,0,1
334,2014.09.15,0.90343,0.9056,0.90143,0.90349,44496,0,1
335,2014.09.16,0.90348,0.90533,0.89802,0.89889,54137,0,1
336,2014.09.17,0.89892,0.89893,0.88918,0.89156,60593,0,1
337,2014.09.18,0.89152,0.89411,0.88953,0.8919,52039,0,1
338,2014.09.19,0.89194,0.89462,0.88689,0.88759,49972,0,1
339,2014.09.22,0.89145,0.89708,0.88994,0.89548,78730,0,1
340,2014.09.23,0.89535,0.89762,0.88896,0.89421,78614,0,1
341,2014.09.24,0.89421,0.89635,0.8923,0.89288,49444,0,1
342,2014.09.25,0.89291,0.89352,0.87881,0.88255,67981,0,1
343,2014.09.26,0.88255,0.88327,0.87608,0.877,50493,0,1
344,2014.09.29,0.8778,0.87805,0.86147,0.86666,59755,0,1
345,2014.09.30,0.86619,0.87612,0.8645,0.87514,59985,0,1
346,2014.10.01,0.87517,0.87757,0.86705,0.8678,66746,0,1
347,2014.10.02,0.86782,0.88302,0.86775,0.88044,72305,0,1
348,2014.10.03,0.88045,0.88047,0.87043,0.8736,50884,0,1
349,2014.10.06,0.87016,0.87532,0.86954,0.87288,48777,0,1
350,2014.10.07,0.87285,0.8785,0.87031,0.87309,65478,0,1
351,2014.10.08,0.87305,0.87912,0.87045,0.87777,68895,0,1
352,2014.10.09,0.87777,0.88391,0.87633,0.87894,73746,0,1
353,2014.10.10,0.87891,0.88183,0.87095,0.87512,57714,0,1
354,2014.10.13,0.87605,0.88499,0.87533,0.8817,52455,0,1
355,2014.10.14,0.88169,0.88642,0.88063,0.88606,55725,0,1
356,2014.10.15,0.88602,0.90054,0.88479,0.89736,83764,0,1
357,2014.10.16,0.89738,0.90078,0.88735,0.89448,81942,0,1
358,2014.10.17,0.89444,0.89535,0.88998,0.89216,50826,0,1
359,2014.10.20,0.89483,0.90051,0.89354,0.8991,42758,0,28
360,2014.10.21,0.89913,0.90492,0.89212,0.89451,53486,0,28
361,2014.10.22,0.89454,0.89693,0.88312,0.88346,53229,0,28
362,2014.10.23,0.88346,0.8847,0.87511,0.87834,53721,0,28
363,2014.10.24,0.87836,0.88365,0.87637,0.87984,52780,0,12
364,2014.10.27,0.88246,0.8886,0.88135,0.88734,34736,0,2
365,2014.10.28,0.88737,0.8915,0.88372,0.88494,42448,0,1
366,2014.10.29,0.88494,0.88798,0.8696,0.87159,55195,0,24
367,2014.10.30,0.87159,0.87938,0.8701,0.87681,57365,0,24
368,2014.10.31,0.87681,0.88427,0.87575,0.87753,63408,0,24
369,2014.11.03,0.87499,0.87979,0.8713,0.87756,56585,0,24
370,2014.11.04,0.87756,0.8939,0.87726,0.8912,61162,0,24
371,2014.11.05,0.8912,0.89295,0.87415,0.87629,73645,0,24
372,2014.11.06,0.87624,0.88399,0.87584,0.87902,69930,0,14
373,2014.11.07,0.87908,0.88255,0.87337,0.87813,64199,0,28
374,2014.11.10,0.8798,0.88545,0.87882,0.88236,41812,0,28
375,2014.11.11,0.88233,0.88786,0.87857,0.88608,52170,0,12
376,2014.11.12,0.88607,0.8929,0.88552,0.88999,60602,0,28
377,2014.11.13,0.88996,0.89807,0.88783,0.8948,49955,0,10
378,2014.11.14,0.89477,0.89559,0.88945,0.89246,42981,0,7
379,2014.11.17,0.89697,0.89884,0.89328,0.89639,46200,0,6
380,2014.11.18,0.89641,0.90118,0.89342,0.8939,54597,0,8
381,2014.11.19,0.89389,0.89389,0.88788,0.88894,56757,0,6
382,2014.11.20,0.88892,0.89141,0.88718,0.88901,45953,0,24
383,2014.11.21,0.88901,0.89616,0.88447,0.88478,46508,0,7
