,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
15295,2023.04.04,16:00:00,98.13,98.14,97.686,97.807,14177,0,9
15296,2023.04.04,20:00:00,97.812,98.0,97.785,97.91,5603,0,9
15297,2023.04.05,00:00:00,97.911,98.088,97.677,98.028,13895,0,9
15298,2023.04.05,04:00:00,98.029,98.071,97.659,97.689,12728,0,11
15299,2023.04.05,08:00:00,97.687,97.802,97.376,97.709,19145,0,8
15300,2023.04.05,12:00:00,97.708,97.739,97.108,97.126,22516,0,9
15301,2023.04.05,16:00:00,97.128,97.447,97.091,97.381,9788,0,9
15302,2023.04.05,20:00:00,97.377,97.599,97.265,97.456,6519,0,10
15303,2023.04.06,00:00:00,97.456,97.462,97.16,97.277,12989,0,9
15304,2023.04.06,04:00:00,97.278,97.598,97.224,97.521,10436,0,9
15305,2023.04.06,08:00:00,97.524,97.636,97.296,97.569,16435,0,7
15306,2023.04.06,12:00:00,97.569,97.867,97.241,97.78,18670,0,6
15307,2023.04.06,16:00:00,97.775,97.823,97.619,97.801,10032,0,8
15308,2023.04.06,20:00:00,97.799,97.814,97.553,97.711,4387,0,10
15309,2023.04.07,00:00:00,97.712,97.779,97.515,97.676,12366,0,13
15310,2023.04.07,04:00:00,97.677,97.765,97.588,97.694,11049,0,11
15311,2023.04.07,08:00:00,97.693,97.778,97.375,97.378,10278,0,11
15312,2023.04.07,12:00:00,97.376,97.938,97.374,97.782,11184,0,7
15313,2023.04.07,16:00:00,97.781,97.865,97.673,97.856,17932,0,7
15314,2023.04.07,20:00:00,97.821,97.889,97.731,97.796,4315,0,15
15315,2023.04.10,00:00:00,97.72,98.242,97.688,98.099,14085,0,12
15316,2023.04.10,04:00:00,98.102,98.271,98.09,98.194,11218,0,10
15317,2023.04.10,08:00:00,98.193,98.204,97.756,98.045,14811,0,13
15318,2023.04.10,12:00:00,98.046,98.846,98.008,98.806,17777,0,7
15319,2023.04.10,16:00:00,98.807,98.937,98.752,98.907,10528,0,10
15320,2023.04.10,20:00:00,98.907,98.935,98.728,98.855,5830,0,11
15321,2023.04.11,00:00:00,98.855,98.972,98.672,98.803,12510,0,10
15322,2023.04.11,04:00:00,98.806,98.937,98.738,98.873,12218,0,11
15323,2023.04.11,08:00:00,98.872,98.962,98.488,98.57,16672,0,9
15324,2023.04.11,12:00:00,98.57,99.038,98.468,98.978,15450,0,8
15325,2023.04.11,16:00:00,98.977,99.332,98.975,99.332,9383,0,7
15326,2023.04.11,20:00:00,99.333,99.336,99.164,99.229,8084,0,9
15327,2023.04.12,00:00:00,99.227,99.471,99.18,99.438,11640,0,8
15328,2023.04.12,04:00:00,99.44,99.54,99.288,99.306,11077,0,10
15329,2023.04.12,08:00:00,99.308,99.465,99.234,99.284,14148,0,9
15330,2023.04.12,12:00:00,99.285,99.328,98.68,99.076,17745,0,10
15331,2023.04.12,16:00:00,99.079,99.293,98.829,99.157,9312,0,7
15332,2023.04.12,20:00:00,99.157,99.161,98.871,98.975,3036,0,7
15333,2023.04.13,00:00:00,98.996,99.229,98.915,99.207,5159,0,7
15334,2023.04.13,04:00:00,99.205,99.328,99.145,99.225,4558,0,7
15335,2023.04.13,08:00:00,99.226,99.532,99.134,99.488,15106,0,7
15336,2023.04.13,12:00:00,99.486,99.553,98.719,99.005,19974,0,7
15337,2023.04.13,16:00:00,99.006,99.567,98.996,99.563,11068,0,6
15338,2023.04.13,20:00:00,99.561,99.561,99.298,99.359,4015,0,9
15339,2023.04.14,00:00:00,99.359,99.511,99.282,99.374,13652,0,9
15340,2023.04.14,04:00:00,99.373,99.478,99.275,99.413,10826,0,10
15341,2023.04.14,08:00:00,99.414,99.518,99.201,99.496,14882,0,6
15342,2023.04.14,12:00:00,99.495,100.02,99.344,99.86,23047,0,7
15343,2023.04.14,16:00:00,99.861,100.154,99.825,100.136,11953,0,7
15344,2023.04.14,20:00:00,100.135,100.135,100.006,100.11,2938,0,8
15345,2023.04.17,00:00:00,100.193,100.273,100.054,100.187,12143,0,8
15346,2023.04.17,04:00:00,100.186,100.482,100.134,100.409,13279,0,7
15347,2023.04.17,08:00:00,100.407,100.43,100.147,100.259,14686,0,7
15348,2023.04.17,12:00:00,100.259,100.382,100.032,100.38,17105,0,6
15349,2023.04.17,16:00:00,100.38,100.39,100.232,100.307,8738,0,7
15350,2023.04.17,20:00:00,100.308,100.421,100.245,100.38,7592,0,7
15351,2023.04.18,00:00:00,100.38,100.591,100.266,100.494,13646,0,7
15352,2023.04.18,04:00:00,100.493,100.516,100.375,100.409,14322,0,9
15353,2023.04.18,08:00:00,100.409,100.505,100.231,100.27,15413,0,9
15354,2023.04.18,12:00:00,100.273,100.345,100.033,100.075,16396,0,6
15355,2023.04.18,16:00:00,100.074,100.235,100.026,100.096,9780,0,7
15356,2023.04.18,20:00:00,100.096,100.155,100.046,100.095,6305,0,8
15357,2023.04.19,00:00:00,100.094,100.311,100.04,100.253,12191,0,9
15358,2023.04.19,04:00:00,100.254,100.436,100.208,100.378,11327,0,10
15359,2023.04.19,08:00:00,100.375,100.559,100.287,100.327,17639,0,7
15360,2023.04.19,12:00:00,100.327,100.356,99.944,100.185,16284,0,6
15361,2023.04.19,16:00:00,100.186,100.293,100.037,100.07,9642,0,6
15362,2023.04.19,20:00:00,100.068,100.178,99.986,100.047,6404,0,7
15363,2023.04.20,00:00:00,100.05,100.245,99.973,100.089,12848,0,11
15364,2023.04.20,04:00:00,100.089,100.094,99.856,99.945,13159,0,10
15365,2023.04.20,08:00:00,99.945,100.055,99.849,99.928,15733,0,10
15366,2023.04.20,12:00:00,99.927,99.978,99.525,99.643,17402,0,6
15367,2023.04.20,16:00:00,99.645,99.749,99.528,99.687,9863,0,7
15368,2023.04.20,20:00:00,99.686,99.716,99.478,99.527,9666,0,13
15369,2023.04.21,00:00:00,99.528,99.597,99.14,99.254,12126,0,7
15370,2023.04.21,04:00:00,99.257,99.287,98.898,98.971,11586,0,8
